30227,30227,2021-07-21 00:15:00,3645      
DeviceID,DeviceName,ResourceID,ResourceName,CollectionTime,GranularityPeriod,PORT_RX_BW_UTILIZATION_MIN,PORT_RX_BW_UTILIZATION_AVG,PORT_RX_BW_UTILIZATION_MAX,PORT_TX_BW_UTILIZATION_MIN,PORT_TX_BW_UTILIZATION_AVG,PORT_TX_BW_UTILIZATION_MAX,RXBBAD,TXPKTS,TXOCTETS,RXOCTETS,RXPKTS,PORT_RX_BW_UTILIZATION,PORT_TX_BW_UTILIZATION,TX_DROP_PKTS
3159748,LPCV0323HUIR001,"NE=3159748,LP=16|65568|1|",LPCV0323HUIR001-1(PLA-1),2021-07-21 00:15:00,15,18.77,25.85,36.71,3.17,3.94,6.10,,10783115,2630042513,17491511196,18612005,25.85,3.94,1468
3158861,UPI04599HUIR001,"NE=3158861,LP=16|65568|1|",UPI04599HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.23,1.75,4.23,6.87,10.28,,11217611,9210969806,1617637247,7592132,1.23,6.87,
167773824,SVRM2282HUIR001,"NE=167773824,LP=16|65568|1|",SVRM2282HUIR001-1(PLA-1),2021-07-21 00:15:00,15,2.81,5.66,7.93,1.00,1.02,1.21,,3138293,643539427,4278032323,5128113,5.66,1.02,
167773241,ODN06227HUIR001,"NE=167773241,LP=16|65568|1|",ODN06227HUIR001-1(PLA-1),2021-07-21 00:15:00,15,8.62,11.39,13.67,1.33,1.54,1.77,,7861388,2031895496,15299699876,13574123,11.39,1.54,
3159219,MWBM6005HUIR001,"NE=3159219,LP=16|65568|1|",MWBM6005HUIR001-1(PLA-1),2021-07-21 00:15:00,15,11.07,16.32,23.34,1.84,2.21,3.01,,7181513,1416847808,10589891354,12676613,16.32,2.21,
3153101,VIRS2451HUIR001,"NE=3153101,LP=16|65568|1|",VIRS2451HUIR001-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,48090,5010551,4355539,41682,0.00,0.00,
3160889,KUN00F31HUIR004,"NE=3160889,LP=16|65568|1|",KUN00F31HUIR004-1(PLA-1),2021-07-21 00:15:00,15,2.93,3.40,4.53,18.15,24.28,30.92,,17385236,16210304360,2227354449,10110151,3.39,24.23,88
167772814,LPC00874HUIR001,"NE=167772814,LP=16|65568|1|",LPC00874HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.00,1.00,1.00,1.00,1.00,,102836,18820851,12625363,97413,1.00,1.00,
167773784,SVRM0263HUIR001,"NE=167773784,LP=16|65568|1|",SVRM0263HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.25,2.33,4.41,1.00,1.00,1.03,,2405098,507757656,3817002564,4047797,2.33,1.00,
167775125,UPI04599HUIR006,"NE=167775125,LP=16|65568|1|",UPI04599HUIR006-1(PLA-1),2021-07-21 00:15:00,15,23.42,25.77,28.73,3.14,3.69,5.61,,44456803,8109723190,63540712664,70828306,25.77,3.69,
167772366,BOG04286HUIR001,"NE=167772366,LP=16|65568|1|",BOG04286HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.00,1.00,1.00,1.00,1.00,,776981,208747099,10666843,93333,1.00,1.00,
167773512,KBN05487HUIR001,"NE=167773512,LP=16|65568|1|",KBN05487HUIR001-1(PLA-1),2021-07-21 00:15:00,15,8.16,12.14,19.25,1.45,1.74,2.18,,5742466,1215149386,8579464276,10186953,12.14,1.74,
167772396,NGC00B18HUIR006,"NE=167772396,LP=16|65568|1|",NGC00B18HUIR006-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.00,1.00,1.00,1.00,1.00,,103239,11785266,10137834,95605,1.00,1.00,
