PFM_RMONG_STATICS,PFM_RMONG_STATICS,2021-07-21 04:00:00,97        
DeviceID,DeviceName,ResourceID,ResourceName,CollectionTime,GranularityPeriod,PORT_RX_BW_UTILIZATION,PORT_TX_BW_UTILIZATION,RXOCTETS,RXPKTS
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||1|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-1(PORT-1)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||2|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-2(PORT-2)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||3|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-3(PORT-3)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||4|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-4(PORT-4)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||5|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-5(PORT-5)-MAC:1,2021-07-21 04:00:00,15,,,176118,2284
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=8,CP=-1,PP=4||6|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-8-EMS6-6(V0695 FD LTE)-MAC:1,2021-07-21 04:00:00,15,,,0,0
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=7,CP=-1,PP=4||1|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-7-IFH2-1(PORT-1)-MAC:1,2021-07-21 04:00:00,15,,,118668,1386
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||1|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-1(PORT-1)-MAC:1,2021-07-21 04:00:00,15,,,29208,456
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||2|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-2(PORT-2)-MAC:1,2021-07-21 04:00:00,15,,,0,0
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||3|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-3(PORT-3)-MAC:1,2021-07-21 04:00:00,15,,,0,0
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||4|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-4(PORT-4)-MAC:1,2021-07-21 04:00:00,15,,,0,0
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||5|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-5(PORT-5)-MAC:1,2021-07-21 04:00:00,15,,,57600,900
3160425,V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER,"NE=3160425,S=8,CP=-1,PP=4||6|,FB=19|1||",V3745 Looc 2 FACING V0695 SILLIMAN MEDICAL CENTER-8-EMS6-6(PORT-6)-MAC:1,2021-07-21 04:00:00,15,,,85740,930
